Date,Name,Year,Letterboxd URI
2024-02-03,American Psycho,2000,https://boxd.it/28Vs
2024-03-09,Starship Troopers,1997,https://boxd.it/2a7k
2024-03-09,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2024-03-14,RoboCop,1987,https://boxd.it/22Wu
2025-01-01,A Fistful of Dollars,1964,https://boxd.it/2auo
2025-01-04,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-01-05,Blade Runner 2049,2017,https://boxd.it/b8wK
2025-01-05,The Truman Show,1998,https://boxd.it/18U8
2025-01-06,Catch Me If You Can,2002,https://boxd.it/29VS
2025-01-11,Nosferatu,2024,https://boxd.it/f5eG
2025-01-11,Get Out,2017,https://boxd.it/eOCm
2025-01-11,The Substance,2024,https://boxd.it/zanS
2025-01-12,Midsommar,2019,https://boxd.it/jhxe
2025-01-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-01-17,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-01-20,Call Me by Your Name,2017,https://boxd.it/dYmm
2025-01-21,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2025-01-22,Vertigo,1958,https://boxd.it/2apI
2025-01-27,The Killer,1989,https://boxd.it/1Vha
2025-01-27,Superbad,2007,https://boxd.it/20hO
2025-01-27,Mamma Mia!,2008,https://boxd.it/1Tnq
2025-01-27,Alien,1979,https://boxd.it/2awY
2025-01-30,The Matrix,1999,https://boxd.it/2a1m
2025-01-30,Ghost in the Shell,1995,https://boxd.it/1YYc
2025-01-30,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-02-05,Yojimbo,1961,https://boxd.it/1SRY
2025-02-13,Princess Mononoke,1997,https://boxd.it/2b4w
2025-02-17,Reservoir Dogs,1992,https://boxd.it/2agc
2025-02-19,Die Hard,1988,https://boxd.it/2a7u
2025-02-19,Pulp Fiction,1994,https://boxd.it/29Pq
2025-02-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2025-02-22,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-02-22,Django Unchained,2012,https://boxd.it/2cCk
2025-02-25,Fight Club,1999,https://boxd.it/2a9q
2025-02-26,GoodFellas,1990,https://boxd.it/29FA
2025-02-27,"Paris, Texas",1984,https://boxd.it/29Ts
2025-03-03,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-03-07,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-04-06,La Haine,1995,https://boxd.it/2as8
2025-04-08,The River,1938,https://boxd.it/3Yfg
2025-04-08,Leviathan,2012,https://boxd.it/4bBO
2025-04-08,Three Little Pigs,1933,https://boxd.it/1dQU
2025-04-08,Duck Amuck,1953,https://boxd.it/x66
